order_id,customer_id,restaurant_id,order_date,total_amount,status,delivery_city
ORD001,CUST101,REST201,2024-03-01 10:30:00,450.00,DELIVERED,Hyderabad
ORD002,CUST102,REST202,2024-03-01 11:15:00,280.50,DELIVERED,Bangalore
ORD003,CUST103,REST201,2024-03-01 12:00:00,620.00,CANCELLED,Hyderabad
ORD004,CUST101,REST203,2024-03-01 13:30:00,175.00,DELIVERED,Mumbai
ORD005,CUST104,REST204,2024-03-01 14:00:00,890.00,DELIVERED,Hyderabad
ORD006,CUST105,REST201,2024-03-01 15:10:00,310.00,DELIVERED,Hyderabad
ORD007,CUST102,REST205,2024-03-01 16:00:00,540.00,DELIVERED,Bangalore
ORD008,CUST106,REST202,2024-03-01 16:45:00,200.00,FAILED,Bangalore
ORD009,CUST107,REST203,2024-03-01 17:30:00,760.00,DELIVERED,Mumbai
ORD010,CUST101,REST204,2024-03-01 18:00:00,430.00,DELIVERED,Hyderabad
